producer,nation,local1,local2,local3,local4,varieties1,varieties2,varieties3,varieties4,varieties5,varieties6,type
Concha y Toro,Chile,Rapel Valley,,,,Merlot,,,,,,Red
Concha y Toro,Chile,Rapel Valley,,,,Merlot,,,,,,Red
Altiplano,Chile,Central Valley,,,,Cabernet Sauvignon,Merlot,,,,,Red
Altiplano,Chile,Central Valley,,,,Chardonnay,,,,,,White
Altiplano,Chile,Central Valley,,,,Carmenere,,,,,,Red
Altiplano,Chile,Central Valley,,,,Chardonnay,,,,,,White
Altiplano,Chile,Central Valley,,,,Merlot,,,,,,Red
Altiplano,Chile,Central Valley,,,,Cabernet Sauvignon,Merlot,,,,,Red
Amayna,Chile,Aconcagua,San Antonio Valley,,,Pinot Noir,,,,,,Red
Amayna,Chile,Aconcagua,San Antonio Valley,,,Sauvignon blanc,,,,,,White
Bodeges Celaya,Spain,La Mancha,,,,Blend,,,,,,Etc
Chateau La Couronne,France,Bordeaux,SaintEmilion Grand Cru,,,Merlot,Cabernet Sauvignon,Cabernet Franc,,,,Red
Collin Bourisset,France,Bourgogne,Beaujolais,,,Gamay,,,,,,Red
Collin Bourisset,France,Rhone,ChateauneufduPape,,,mourvedre,Syrah & Shiraz,Etc,,,,Red
Collin Bourisset,France,Rhone,Cotes du Rhone,,,Grenache,Syrah & Shiraz,Etc,,,,Red
Collin Bourisset,France,Bourgogne,Maconnais,Macon,,Gamay,,,,,,Red
Collin Bourisset,France,Bourgogne,Maconnais,MaconVillages,,Chardonnay,,,,,,White
Collin Bourisset,France,Bourgogne,Maconnais,PouillyFuisse,,Chardonnay,,,,,,White
Collin Bourisset,France,Saint Veran,,,,Chardonnay,,,,,,White
Conte Louis de Roristin,France,Normandi,,,,Apple,Pear,,,,,Hard
Conte Louis de Roristin,France,Normandi,,,,Apple,Pear,,,,,Hard
Conte Louis de Roristin,France,Normandi,,,,Apple,Pear,,,,,Hard
Conte Louis de Roristin,Greece,Cabernet Sauvignon,,,,,,,,,,Red
M de Montesquieu,France,Bordeaux,,,,Sauvignon blanc,Muscadet,,,,,White
M de Montesquieu,France,Bordeaux,,,,Merlot,Cabernet Sauvignon,,,,,Red
Mahler Besse,France,Bordeaux,,,,Merlot,Cabernet Sauvignon,Cabernet Franc,,,,Red
Mahler Besse,Spain,Toro,,,,Tinta de Toro,,,,,,Red
Porca de Murca,Portugal,Douro,,,,Touriga Nacional,Touriga Francesa,,,,,Red
Porca de Murca,Portugal,Douro,,,,Tinta Francisca,Tinta Roriz,Etc,,,,Red
Porca de Murca,Portugal,Douro,,,,,,,,,,
Porca de Murca,Portugal,Douro,,,,Gouveio,Viosinho,Etc,,,,White
Real Companhia Velha,Portugal,Porto,,,,Tinta Francisca,Tinta Roriz,Etc,,,,Fortified
Real Companhia Velha,Portugal,Porto,,,,Tinta Francisca,Tinta Roriz,Etc,,,,Fortified
Real Companhia Velha,Portugal,Porto,,,,Tinta Francisca,Tinta Roriz,Etc,,,,Fortified
Real Companhia Velha,Portugal,Porto,,,,Tinta Francisca,Tinta Roriz,Etc,,,,Fortified
Solente,Chile,Rapel Valley,,,,Malbec,Cabernet Sauvignon,,,,,Red
Vina Manquehue,Chile,Central Valley,,,,Chardonnay,Sauvignon blanc,Strawberry,,,,Sparkling
Bodega Palacios Remondo,Spain,,,,,Garnacha,Carinena,Cabernet Sauvignon,Syrah & Shiraz,Merlot,,Red
Bodega Palacios Remondo,Spain,,,,,Garnacha,Cabernet Sauvignon,Carinena,,,,Red
Bodega Palacios Remondo,Spain,Catalunya,Priorat,,,Carinena,Garnacha,,,,,Red
Bodega Palacios Remondo,Spain,Rioja,,,,Tempranillo,Garnacha,Mazuelo,Graciano,,,Red
Armagnac de Montal,France,Armagnac,,,,,,,,,,
Bacio Divino,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,Sangiovese,Petite Sirah,,,,Red
Bacio Divino,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,,,,,,Red
Bel Sit,Italy,Piemonte,Asti,,,Moscato,,,,,,White
Beringer Vineyards,USA,California,,,,Zinfandel,,,,,,Sparkling
Beringer Vineyards,USA,California,,,,Cabernet Sauvignon,Syrah & Shiraz,Zinfandel,,,,Red
Beringer Vineyards,USA,California,,,,Chardonnay,Sauvignon blanc,,,,,White
Beringer Vineyards,USA,California,,,,Cabernet Sauvignon,Petite Sirah,,,,,Red
Beringer Vineyards,USA,California,,,,Merlot,Petite Sirah,Petit Verdot,,,,Red
Beringer Vineyards,USA,California,,,,Pinot Noir,,,,,,Red
Beringer Vineyards,USA,California,,,,Sauvignon blanc,,,,,,White
Beringer Vineyards,USA,California,,,,Cabernet Sauvignon,Etc,,,,,Red
Beringer Vineyards,USA,California,,,,Merlot,Etc,,,,,Red
Beringer Vineyards,USA,California,,,,Zinfandel,,,,,,Rose
Beringer Vineyards,USA,California,,,,Zinfandel,,,,,,Red
Beringer Vineyards,USA,California,Napa County,Napa Valley,,Merlot,Cabernet Sauvignon,Cabernet Franc,,,,Red
Beringer Vineyards,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,Red
Beringer Vineyards,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,,,,,,Red
Black Peak,Romania,Cabernet Sauvignon,,,,,,,,,,Red
Black Peak,Romania,,,,,Chardonnay,,,,,,White
Black Peak,Romania,,,,,Blend,,,,,,Red
Bodega Weinert,Argentina,Mendoza,,,,Cabernet Sauvignon,Malbec,Merlot,,,,Red
Bodega Weinert,Argentina,Mendoza,,,,Cabernet Sauvignon,,,,,,Red
Bodega Weinert,Argentina,Mendoza,,,,Chardonnay,,,,,,White
Bodega Weinert,Argentina,Mendoza,,,,Malbec,,,,,,Red
Bodega Weinert,Argentina,Mendoza,,,,Merlot,,,,,,Red
Bond Estates,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,,,,,,Red
Bond Estates,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,,,,,,Red
Bond Estates,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,,,,,,Red
Bouchard Pere  Fils,France,Bourgogne,Beaujolais,,,Gamay,,,,,,Red
Bouchard Pere  Fils,France,Bourgogne,,,,Chardonnay,,,,,,White
Bouchard Pere  Fils,France,Bourgogne,,,,Pinot Noir,,,,,,Red
Bouchard Pere  Fils,France,Bourgogne,Cote Chalonnaise,Mercurey,,Pinot Noir,,,,,,Red
Bouchard Pere  Fils,France,Bourgogne,Cote de Beaune,AuxeyDuresses,,Pinot Noir,,,,,,Red
Bouchard Pere  Fils,France,Bourgogne,Cote de Beaune,Beaune,,Pinot Noir,,,,,,Red
Bouchard Pere  Fils,France,Bourgogne,Cote de Beaune,,,Chardonnay,,,,,,White
Bouchard Pere  Fils,France,Bourgogne,Cote de Beaune,Monthelie,,Pinot Noir,,,,,,Red
Bouchard Pere  Fils,France,Bourgogne,Cote de Beaune,PulignyMontrachet,,Chardonnay,,,,,,White
Bouchard Pere  Fils,France,Bourgogne,Cote de Beaune,Beaune,,Pinot Noir,,,,,,Red
Bouchard Pere  Fils,France,Bourgogne,Cote de Nuits,Vougeot,,Pinot Noir,,,,,,Red
Bouchard Pere  Fils,France,Bourgogne,Cote de Nuits,GevreyChambertin,,Pinot Noir,,,,,,Red
Bouchard Pere  Fils,France,Bourgogne,Cote de Nuits,VosneRomanee,,Pinot Noir,,,,,,Red
Bouchard Pere  Fils,France,Bourgogne,Cote de Nuits,Marsannay,,Pinot Noir,,,,,,Red
Bouchard Pere  Fils,France,Bourgogne,Cote de Nuits,VosneRomanee,,Pinot Noir,,,,,,Red
Bouchard Pere  Fils,France,Bourgogne,Maconnais,PouillyFuisse,,Chardonnay,,,,,,White
Bruno Giacosa,Italy,Piemonte,Barbaresco,,,Nebbiolo,,,,,,Red
Bruno Giacosa,Italy,Piemonte,Barolo,,,Nebbiolo,,,,,,Red
Bruno Giacosa,Italy,Piemonte,,,,Arneis,,,,,,White
Cakebread Cellar,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,,,,,,Red
Cakebread Cellar,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,Cabernet Franc,,,,,Red
Cakebread Cellar,USA,California,Napa County,Napa Valley,,Chardonnay,,,,,,White
Cakebread Cellar,USA,California,Napa County,Napa Valley,,Merlot,Cabernet Sauvignon,,,,,Red
Cakebread Cellar,USA,California,Napa County,Napa Valley,,Merlot,Cabernet Sauvignon,,,,,Red
Cakebread Cellar,USA,California,Napa County,Napa Valley,,Sauvignon blanc,Semillon,,,,,White
Tenuta di Biserno,Italy,Toscana,,,,Syrah & Shiraz,Merlot,Cabernet Franc,Cabernet Sauvignon,Petit Verdot,,Red
Mount Nelson Winery,New Zealand,South Island,Marlborough,,,Sauvignon blanc,,,,,,White
Campo di Sasso,Hungary,The Northeast,TokajHegyalja,,,Furmint,,,,,,Red
Castello dei Rampolla,Italy,Toscana,,,,Cabernet Sauvignon,Sangiovese,Merlot,,,,Red
Castello dei Rampolla,Italy,Toscana,,,,Cabernet Sauvignon,Sangiovese,,,,,Red
Castello di Querceto,Italy,Toscana,Chianti,,,Sangiovese,Canaiolo,,,,,Red
Castello di Querceto,Italy,Toscana,,,,Sangiovese,Canaiolo,,,,,Red
Castello di Querceto,Italy,Toscana,Chianti,,,Sangiovese,Canaiolo,,,,,Red
Castello di Querceto,Italy,Toscana,Vernaccia di San Gimignano,,,Vernaccia,,,,,,White
Castello di Querceto,Italy,Toscana,,,,Cabernet Sauvignon,Merlot,,,,,Red
Castello di Querceto,Italy,Toscana,,,,Cabernet Sauvignon,,,,,,Red
Castello di Querceto,Italy,Toscana,,,,Sangiovese,Etc,,,,,Hard
Cave Saint Jean,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,Red
Caymus Vineyards,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,,,,,,Red
Marrenon Cellier de Marrenon,France,Rhone,Luberon,Ugni blanc,,Bourboulenc,Grenache Blanc,,,,,White
Marrenon Cellier de Marrenon,France,Rhone,Luberon,Ugni blanc,,Bourboulenc,Grenache Blanc,,,,,White
Marrenon Cellier de Marrenon,France,Rhone,Luberon,,,Grenache,Syrah & Shiraz,Carignan,,,,Red
Marrenon Cellier de Marrenon,France,Rhone,Luberon,,,Grenache,Syrah & Shiraz,Carignan,,,,Red
Marrenon Cellier de Marrenon,France,Rhone,Luberon,,,Syrah & Shiraz,Grenache,,,,,Red
Marrenon Cellier de Marrenon,France,Rhone,Luberon,,,Grenache Blanc,Ugni​ blanc,Vermentino,Clairette,,,White
Marrenon Cellier de Marrenon,France,Rhone,Luberon,,,Grenache,Syrah & Shiraz,Cinsault,Carignan,mourvedre,,Red
Cesari,Italy,Veneto,Bardolino,,,Corvina,Rondinella,Molinara,,,,Red
Cesari,Italy,Veneto,Valpolicella,,,Corvina,Rondinella,,,,,Red
Cesari,Italy,Veneto,Valpolicella,,,Corvina,Rondinella,Molinara,,,,Red
Cesari,Italy,Veneto,Valpolicella,,,Corvina,Rondinella,,,,,Red
Cesari,Italy,Veneto,,,,Chardonnay,,,,,,White
Cesari,Italy,Veneto,,,,Merlot,Cabernet Sauvignon,,,,,Red
Chateau Bouscaut  Grand Cru Class de Grave,France,Bordeaux,PessacLeognan,,,Merlot,Cabernet Sauvignon,Cabernet Franc,,,,Red
Chateau Certan de May,France,Bordeaux,Pomerol,,,Merlot,Etc,,,,,Red
Chateau Cheval Brun,France,Bordeaux,SaintEmilion Grand Cru,,,Merlot,Cabernet Sauvignon,Cabernet Franc,,,,Red
Chateau Clauzet,France,Bordeaux,,,,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,Red
Chateau Clos du Bourg,France,Bordeaux,,,,Merlot,Cabernet Sauvignon,,,,,Red
Chateau Commanderie de Queyret,France,Bordeaux,,,,Merlot,Cabernet Sauvignon,Cabernet Franc,,,,Red
Chateau de Callac,France,Bordeaux,,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,Red
Chateau des Eyrins,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,Petit Verdot,,,,Red
Chateau du Tailhas,France,Bordeaux,Pomerol,,,Merlot,Cabernet Franc,Cabernet Sauvignon,,,,Red
Chateau FerrandePomerol,France,Bordeaux,Pomerol,,,Merlot,Cabernet Sauvignon,Cabernet Franc,,,,Red
Chateau Fort Lignac,France,Bordeaux,HautMedoc,,,Cabernet Sauvignon,Merlot,Petit Verdot,,,,Red
Chateau Gressier Grand Poujeaux,France,Bordeaux,,,,Cabernet Sauvignon,Merlot,,,,,Red
Chateau Haute Fonrousse,France,Southwest France,Monbazillac,,,Semillon,Sauvignon blanc,Muscadet,,,,White
Chateau La Serre,France,Bordeaux,SaintEmilion Grand Cru,,,Merlot,Cabernet Franc,,,,,Red
Jean Pierre Moueix,France,Bordeaux,Pomerol,,,Merlot,Cabernet Franc,,,,,Red
Chateau Lalande,France,Bordeaux,SaintJulien,,,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,Red
Chateau Bouscaut  Grand Cru Class de Grave,France,Bordeaux,PessacLeognan,,,Merlot,Cabernet Sauvignon,Malbec,,,,Red
Chateau Les Baraillots,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,Red
Chateau Les Ollieux,France,Southern France,Languedoc Roussillon,Corbieres,,Grenache,Syrah & Shiraz,Carignan,,,,Red
Chateau Les Ollieux,France,Bordeaux,SaintJulien,,,Cabernet Sauvignon,Merlot,Petit Verdot,,,,Red
Chateau Malartic Lagraviere Grand Cru Class de Grave,France,Bordeaux,PessacLeognan,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,Red
Chateau Notton,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,Red
Chateau Picampeau,France,Bordeaux,LussacSaintEmilion,,,Merlot,Cabernet Sauvignon,,,,,Red
Chateau Souverain,USA,California,Sonoma County,,,Cabernet Sauvignon,,,,,,Red
Chateau Souverain,USA,California,Sonoma County,,,Merlot,,,,,,Red
Chateau Souverain,USA,California,Sonoma County,,,Sauvignon blanc,Chardonnay,,,,,White
Chateau Souverain,USA,California,Sonoma County,,,Chardonnay,,,,,,White
Chateau Souverain,USA,California,Sonoma County,,,Zinfandel,Petite Sirah,Syrah & Shiraz,,,,Red
Chateau St Jean,USA,California,Sonoma County,,,Chardonnay,,,,,,White
Chateau St Jean,USA,California,Sonoma County,,,Chardonnay,,,,,,White
Chateau St Jean,USA,California,Sonoma County,,,Merlot,Malbec,Cabernet Sauvignon,,,,Red
Chateau St Jean,USA,California,Sonoma County,,,Cabernet Sauvignon,Merlot,Cabernet Franc,Malbec,Petit Verdot,,Red
Chateau Ste Michelle,USA,Washington State,Columbia Valley,Horse Heaven Hills,,Merlot,Cabernet Sauvignon,Malbec,,,,Red
Chateau Ste Michelle,USA,Washington State,Columbia Valley,,,Cabernet Sauvignon,,,,,,Red
Chateau Ste Michelle,USA,Washington State,Columbia Valley,,,Cabernet Sauvignon,Merlot,,,,,Red
Chateau Ste Michelle,USA,Washington State,Columbia Valley,,,Chardonnay,,,,,,White
Ste Michelle Wine Estates,USA,Washington State,Columbia Valley,,,Chardonnay,Pinot Noir,Pinot Gris,,,,Sparkling
Ste Michelle Wine Estates,USA,Washington State,Columbia Valley,,,Riesling,,,,,,White
Chateau Ste Michelle,USA,Washington State,Columbia Valley,,,Merlot,Cabernet Sauvignon,Malbec,,,,Red
Ste Michelle Wine Estates,USA,Washington State,Columbia Valley,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,Red
Jean Pierre Moueix,France,Bordeaux,,,,Merlot,,,,,,Red
Clement de Bertiac,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,Red
Clos Henri,New Zealand,South Island,Marlborough,,,Pinot Noir,,,,,,Red
Clos Henri,New Zealand,South Island,Marlborough,,,Sauvignon blanc,,,,,,White
Colgin Cellars,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,Red
Colgin Cellars,USA,California,Napa County,Napa Valley,,Syrah & Shiraz,,,,,,Red
Columbia Crest,USA,Washington State,Columbia Valley,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,Red
Columbia Crest,USA,Washington State,Columbia Valley,,,Merlot,Etc,,,,,Red
Two Vines,USA,Washington State,Columbia Valley,,,Syrah & Shiraz,,,,,,Red
Conti di Buscareto,Italy,Marche,,,,Lacrima,,,,,,Red
Conti di Buscareto,Italy,Marche,,,,Verdicchio Bianco,,,,,,White
DR Stephens Estate,USA,California,Napa County,Napa Valley,,Chardonnay,,,,,,White
De Tarczal,Italy,,,,,Marzemino,,,,,,Red
Domaine de Chevalier Grand Cru Class de Grave,France,Bordeaux,PessacLeognan,,,Sauvignon blanc,Semillon,,,,,White
Dominus Estates,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,Cabernet Franc,Merlot,Petit Verdot,,,Red
Dominus Estates,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,Cabernet Franc,Merlot,Petit Verdot,Malbec,,Red
Dows,Portugal,Douro,,,,Tinta Roriz,Touriga Franca,Tinta Barroca,Touriga Nacional,Tinto Cao,Tinta Amarela,Fortified
Dows,Portugal,Douro,,,,Tinta Roriz,Touriga Franca,Tinta Barroca,Touriga Nacional,Tinto Cao,Tinta Amarela,Fortified
Dows,Portugal,Douro,,,,Tinta Roriz,Touriga Franca,Tinta Barroca,Touriga Nacional,Tinto Cao,Tinta Amarela,Fortified
Dows,Portugal,Douro,,,,Tinta Roriz,Touriga Franca,Tinta Barroca,Touriga Nacional,Tinto Cao,Tinta Amarela,Fortified
Dows,Portugal,Porto,,,,Tinta Roriz,Touriga Franca,Tinta Barroca,Touriga Nacional,Tinto Cao,Tinta Amarela,Fortified
Duckhorn Wine Company,USA,California,Mendocino County,Anderson Valley,,Pinot Noir,,,,,,Red
Duckhorn Wine Company,USA,California,Napa County,Napa Valley,,Sauvignon blanc,Semillon,,,,,White
Enate Bodega Enate,Spain,Somontano,,,,Cabernet Sauvignon,Merlot,,,,,Red
Enate Bodega Enate,Spain,Somontano,,,,Chardonnay,,,,,,White
Enate Bodega Enate,Spain,Somontano,,,,Chardonnay,,,,,,White
Enate Bodega Enate,Spain,Somontano,,,,Tempranillo,Cabernet Sauvignon,,,,,Red
Enate Bodega Enate,Spain,Somontano,,,,Cabernet Sauvignon,,,,,,Red
Enate Bodega Enate,Spain,Somontano,,,,Cabernet Sauvignon,Merlot,,,,,Red
Far Niente Winery,USA,California,Napa County,Oakville,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,Red
REMIREZ DE GANUZA Fernando Remirez  de Ganuza,Spain,Rioja,,,,Tempranillo,Graciano,,,,,Red
Giuseppe Mascarello,Italy,Piemonte,Barolo,,,Nebbiolo,,,,,,Red
Giuseppe Mascarello,Italy,Piemonte,Langhe,,,Freisa,,,,,,Red
Grace Family,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,,,,,,Red
Grace Family,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,,,,,,Red
Greg Norman Estates,Australia,South Australia,,,,Cabernet Sauvignon,Merlot,,,,,Red
Greg Norman Estates,Australia,Victoria,Yarra Valley,,,Chardonnay,,,,,,White
Greg Norman Estates,Australia,South Australia,,,,Syrah & Shiraz,,,,,,Red
Harlan Estate,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,Red
Heitz Cellar,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,,,,,,Red
Heitz Cellar,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,,,,,,Red
Heitz Cellar,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,,,,,,Red
Heitz Cellar,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,,,,,,Red
Henri Bourgeois,France,Loire,,,,Muscadet,,,,,,White
Henri Bourgeois,France,Loire,Central Loire,Sancerre,,Sauvignon blanc,,,,,,White
Henri Bourgeois,France,Loire,Central Loire,Sancerre,,Sauvignon blanc,,,,,,White
Henri Bourgeois,France,Loire,Central Loire,Sancerre,,Sauvignon blanc,,,,,,White
Henri Bourgeois,France,Loire,Central Loire,Sancerre,,Sauvignon blanc,,,,,,White
Champagne Henriot,France,Champagne,,,,Chardonnay,Pinot Noir,Pinot Meunier,,,,Sparkling
Champagne Henriot,France,Champagne,,,,Pinot Noir,Chardonnay,,,,,Sparkling
Champagne Henriot,France,Champagne,,,,Chardonnay,Pinot Noir,Pinot Meunier,,,,Sparkling
Henschke,Australia,South Australia,Eden Valley,,,Cabernet Sauvignon,Cabernet Franc,Merlot,,,,Red
Henschke,Australia,South Australia,Eden Valley,,,Syrah & Shiraz,,,,,,Red
Henschke,Australia,South Australia,Barossa Valley,,,Chardonnay,Semillon,Sauvignon blanc,,,,White
Hess Collection,USA,California,Napa County,Napa Valley,,Chardonnay,,,,,,White
Famille Hugel,France,Alsace,,,,Gewurztraminer,,,,,,White
Famille Hugel,France,Alsace,,,,Gewurztraminer,,,,,,White
Famille Hugel,France,Alsace,,,,Riesling,,,,,,White
Famille Hugel,France,Alsace,,,,Riesling,,,,,,White
Champagne Jacquesson,France,Champagne,,,,Chardonnay,,,,,,Sparkling
Champagne Jacquesson,France,Champagne,,,,Chardonnay,Pinot Noir,Pinot Meunier,,,,Sparkling
Champagne Jacquesson,France,Champagne,,,,Chardonnay,Pinot Noir,,,,,Sparkling
Champagne Jacquesson,France,Champagne,,,,Pinot Noir,Chardonnay,,,,,Sparkling
Jean Pierre Moueix,France,Bordeaux,Bordeaux Superieur,,,Merlot,Cabernet Sauvignon,Cabernet Franc,,,,Red
Jean Pierre Moueix,France,Bordeaux,Pomerol,,,Merlot,Cabernet Franc,,,,,Red
Jean Pierre Moueix,France,Bordeaux,SaintEmilion,,,Merlot,Cabernet Franc,,,,,Red
Jim Barry,Australia,South Australia,Clare Valley,,,Syrah & Shiraz,,,,,,Red
Jim Barry,Australia,South Australia,Clare Valley,,,Syrah & Shiraz,,,,,,Red
Joseph Phelps Vineyards,USA,California,,,,Grenache,Syrah & Shiraz,mourvedre,Alicante Bouschet,Petite Sirah,Carignan,Red
Joseph Phelps Vineyards,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,,,,,,Red
Joseph Phelps Vineyards,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,Petit Verdot,Merlot,Malbec,,,Red
Joseph Phelps Vineyards,USA,California,Napa County,Napa Valley,,Chardonnay,,,,,,White
Joseph Phelps Vineyards,USA,California,Napa County,Napa Valley,,Syrah & Shiraz,,,,,,Red
Kim Crawford,New Zealand,South Island,Marlborough,,,Merlot,,,,,,Red
Kim Crawford,New Zealand,South Island,Marlborough,,,Chardonnay,,,,,,White
Kim Crawford,New Zealand,South Island,Marlborough,,,Merlot,,,,,,Red
Kistler Vineyards,USA,California,Sonoma County,,,Chardonnay,,,,,,White
Kistler Vineyards,USA,California,Sonoma County,,,Chardonnay,,,,,,White
Kistler Vineyards,USA,California,Sonoma County,,,Chardonnay,,,,,,White
Long Meadow Ranch Winery,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,,,,,,Red
Long Meadow Ranch Winery,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,,,,,,Red
Martinez Bujanda,Spain,La Mancha,,,,Viura,,,,,,White
Martinez Bujanda,Spain,La Mancha,,,,Tempranillo,,,,,,Rose
Martinez Bujanda,Spain,La Mancha,,,,Tempranillo,,,,,,Red
Martinez Bujanda,Spain,Rioja,,,,Tempranillo,Mazuelo,,,,,Red
Martinez Bujanda,Spain,Rioja,,,,Tempranillo,Cabernet Sauvignon,Mazuelo,Graciano,,,Red
Montes Vina Montes,Chile,Aconcagua,Aconcagua Valley,,,Pinot Noir,,,,,,Red
Montes Vina Montes,Chile,Aconcagua,Casablanca Valley,,,Pinot Noir,,,,,,Red
Montes Vina Montes,Chile,Central Valley,,,,Chardonnay,,,,,,White
Montes Vina Montes,Chile,Central Valley,,,,Cabernet Sauvignon,,,,,,Red
Montes Vina Montes,Chile,Rapel Valley,Colchagua Valley,,,Syrah & Shiraz,,,,,,Red
Kaiken Kaiken by Montes,Argentina,Mendoza,,,,Cabernet Sauvignon,Malbec,,,,,Red
Montevertine,Italy,Toscana,,,,Sangiovese,,,,,,Red
Montevertine,Italy,Toscana,,,,Sangiovese,Canaiolo,Colorino,,,,Red
Neil Ellis,the Republic of South Africa,Coastal Region,Stellenbosch,,,Cabernet Sauvignon,,,,,,Red
Neil Ellis,the Republic of South Africa,Coastal Region,Stellenbosch,,,Cabernet Sauvignon,Merlot,,,,,Red
Neil Ellis,the Republic of South Africa,Coastal Region,Stellenbosch,,,Chardonnay,,,,,,White
Neil Ellis,the Republic of South Africa,Coastal Region,Stellenbosch,,,Pinotage,,,,,,Red
Neil Ellis,the Republic of South Africa,Coastal Region,Stellenbosch,,,Syrah & Shiraz,,,,,,Red
Neil Ellis,the Republic of South Africa,Coastal Region,Darling,Groenekloof,,Sauvignon blanc,,,,,,White
Northstar,USA,Washington State,Columbia Valley,,,Merlot,Cabernet Sauvignon,Petit Verdot,,,,Red
Paul Jaboulet Aine,France,Rhone,ChateauneufduPape,,,Grenache,Cinsault,Syrah & Shiraz,mourvedre,,,Red
Paul Jaboulet Aine,France,Rhone,Cotes du Rhone,,,Grenache,Syrah & Shiraz,,,,,Red
Paul Jaboulet Aine,France,Rhone,CrozesHermitage,,,Syrah & Shiraz,,,,,,Red
Paul Jaboulet Aine,France,Rhone,CrozesHermitage,,,Marsanne,Rousaanne,,,,,White
Paul Jaboulet Aine,France,Rhone,Tavel,,,Grenache,Cinsault,Syrah & Shiraz,,,,Rose
Pepper Bridge Winery,USA,Washington State,Columbia Valley,Walla Walla Valley,,Cabernet Sauvignon,Merlot,,,,,Red
Peter Michael Winery,USA,California,Sonoma County,,,Chardonnay,,,,,,White
Poggio Di Sotto,Italy,Toscana,Montalcino,,,Sangiovese,,,,,,Red
Poggio Di Sotto,Italy,Toscana,Montalcino,,,Sangiovese,,,,,,Red
Saltram Estate,Australia,South Australia,Barossa Valley,,,Syrah & Shiraz,,,,,,Red
Saltram Estate,Australia,South Australia,Barossa Valley,,,Cabernet Sauvignon,,,,,,Red
Saltram Estate,Australia,South Australia,Barossa Valley,,,Chardonnay,,,,,,White
Saltram Estate,Australia,South Australia,Barossa Valley,,,Sauvignon blanc,,,,,,White
Saltram Estate,Australia,South Australia,Barossa Valley,,,Cabernet Sauvignon,,,,,,Red
Saltram Estate,Australia,South Australia,Barossa Valley,,,Chardonnay,,,,,,White
Saltram Estate,Australia,South Australia,Barossa Valley,,,Syrah & Shiraz,,,,,,Red
Saltram Estate,Australia,South Australia,Barossa Valley,,,Cabernet Sauvignon,Merlot,,,,,Red
Saltram Estate,Australia,South Australia,Barossa Valley,,,Chardonnay,,,,,,White
Saltram Estate,Australia,South Australia,Barossa Valley,,,Syrah & Shiraz,,,,,,Red
Schramsberg,USA,California,,,,Pinot Noir,Chardonnay,,,,,Sparkling
Schramsberg,USA,California,,,,Flora,Gewurztraminer,Pinot Noir,Chardonnay,,,Sparkling
Schramsberg,USA,California,,,,Pinot Noir,Chardonnay,,,,,Sparkling
Shafer Vineyards,USA,California,Napa County,Napa Valley,,Chardonnay,,,,,,White
Shafer Vineyards,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,,,,,,Red
Shafer Vineyards,USA,California,Napa County,Napa Valley,,Merlot,Cabernet Sauvignon,,,,,Red
Shafer Vineyards,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,,,,,,Red
